S,Vmfn,Rem,Dfn,colIndex,frictionFactor
0.6,0.14523306926625973,1571.4925948348364,1.0207251260919459,10,8.053827832458891
0.6,0.14919867201608858,1484.6700727150633,1.020496958122893,11,7.781659740134454
0.6,0.15051863788037245,1524.6010923152608,1.0202682699961736,12,6.746735101286438
0.6,0.1475566241079068,1537.474691552716,1.0200387202265198,13,7.328905946074068
0.6,0.1487168455768274,1506.6145984594211,1.0198099976987238,14,8.46345208446189
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0225573115300064,2,4.524763822523729
0.6,0.20725746132047523,2444.1634095115824,1.0222954816335725,3,5.371034755627683
0.6,0.18587245836717378,2124.5463950782246,1.022037317980643,4,7.217497853296727
0.6,0.18106456698724788,1904.474742440225,1.021783633108329,5,5.617166561924891
0.6,0.16940944993334342,1854.3903623227538,1.021528384101306,6,6.535869913827899
0.6,0.16243308025142503,1734.2497601236075,1.0212743285589199,7,6.896084088547292
0.6,0.15516107970795784,1662.0944743558746,1.0210202770831869,8,6.785197440824674
0.6,0.15366425397737898,1586.9791697647738,1.0207674713317831,9,6.096349155508747
0.6,0.14523306926625973,1570.9755571723924,1.02051327863625,10,8.055499719508903
0.6,0.14919867201608858,1484.120525371959,1.0202615723688908,11,7.783455056056299
0.6,0.15051863788037245,1523.9740433068635,1.0200093460059838,12,6.748447724391334
0.6,0.1475566241079068,1536.779093088199,1.0197562580629422,13,7.330935978852799
0.6,0.1487168455768274,1505.87097311603,1.019503997422294,14,8.465992357657429
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.022532703436766,2,4.52487271469868
0.6,0.20725746132047523,2444.058345236061,1.0222462655208213,3,5.371293344444331
0.6,0.18587245836717378,2124.3637382234733,1.0219634939208027,4,7.2180192270997905
0.6,0.18106456698724788,1904.229129704215,1.021685201172022,5,5.617707735057882
0.6,0.16940944993334342,1854.0714804265654,1.0214053443605922,6,6.536657232735107
0.6,0.16243308025142503,1733.876969614429,1.0211266810846398,7,6.897081212035452
0.6,0.15516107970795784,1661.6657239093431,1.0208480219466582,8,6.7863423567048216
0.6,0.15366425397737898,1586.5015510098294,1.0205706086031572,9,6.097525109351913
0.6,0.14523306926625973,1570.4351937642075,1.0202918083879977,10,8.057248291346893
0.6,0.14919867201608858,1483.5462069046193,1.0200154946693718,11,7.7853328066635346
0.6,0.15051863788037245,1523.3187540072886,1.0197386609265844,12,6.750239069740974
0.6,0.1475566241079068,1536.0521939835417,1.0194609656757605,13,7.333059424142376
0.6,0.1487168455768274,1505.0939147572064,1.01918409779706,14,8.4686496477273
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0225069513027274,2,4.52498667492996
0.6,0.20725746132047523,2443.9484007346678,1.022194761336958,3,5.371563981792965
0.6,0.18587245836717378,2124.172604398777,1.0218862377699587,4,7.218564920310633
0.6,0.18106456698724788,1903.9721282403857,1.0215821931351587,5,5.618274179000768
0.6,0.16940944993334342,1853.7378253602305,1.0212765845201741,6,6.537481357125023
0.6,0.16243308025142503,1733.4869235858862,1.0209721695218577,7,6.89812500032716
0.6,0.15516107970795784,1661.2171450948608,1.0206677587431996,8,6.787540913044537
0.6,0.15366425397737898,1586.0018632476658,1.0203645938394905,9,6.098756218508324
0.6,0.14523306926625973,1569.869884050392,1.0200600421470176,10,8.059078966083643
0.6,0.14919867201608858,1482.945397835929,1.0197579770296719,11,7.787298822692643
0.6,0.15051863788037245,1522.6332658387287,1.0194553919699247,12,6.752114711572437
0.6,0.1475566241079068,1535.2918253079051,1.0191519454846454,13,7.335282903609542
0.6,0.1487168455768274,1504.2811087149416,1.0188493264515164,14,8.471432258623636
0.6,0.2725011178617673,2795.9117133529903,1.0228215767634854,1,5.288080290235409
0.6,0.23832826486925843,2795.9117133529903,1.0224800551278914,2,4.525105703983026
0.6,0.20725746132047523,2443.833576587411,1.022140969082944,3,5.371846671307329
0.6,0.18587245836717378,2123.9729956229653,1.0218055495309957,4,7.219134943923764
